n,r,m
(:head {name: 'stove top oven'}),[:Relation {type: part of}],(:tail {name: kitchen})
(:head {name: 'John F. Kennedy School of Government'}),[:Relation {type: part of}],(:tail {name: Harvard University})
(:head {name: 'Docked in the water'}),[:Relation {type: instance of}],(:tail {name: boat})
(:head {name: 'Docked in the water'}),[:Relation {type: instance of}],(:tail {name: boats})
(:head {name: 'passport'}),[:Relation {type: used by}],(:tail {name: person})
(:head {name: 'passport'}),[:Relation {type: owned by}],(:tail {name: person})
(:head {name: 'passport'}),[:Relation {type: subclass of}],(:tail {name: person})
(:head {name: 'table'}),[:Relation {type: part of}],(:tail {name: dinning room})
(:head {name: 'table'}),[:Relation {type: use}],(:tail {name: dinning room})
(:head {name: 'table and chairs'}),[:Relation {type: part of}],(:tail {name: dinning room})
(:head {name: 'toilet'}),[:Relation {type: part of}],(:tail {name: bathroom})
(:head {name: 'shower'}),[:Relation {type: part of}],(:tail {name: bathroom})
(:head {name: 'toilet'}),[:Relation {type: part of}],(:tail {name: bathroom})
(:head {name: 'green'}),[:Relation {type: has part}],(:tail {name: white})
(:head {name: 'white'}),[:Relation {type: has part}],(:tail {name: green})
(:head {name: 'green hat'}),[:Relation {type: has part}],(:tail {name: white background})
